,0,1,feature_importance,vocab
16,die,221,0.008401539,x
13,slay,130,0.008384041,x
35,brother,80,0.006225428,x
56,king,239,0.006157812,x
77,succeed,46,0.006010939,x
54,army,111,0.00549254,x
146,ship,88,0.005373577,x
80,bishopric,37,0.005215457,x
20,son,140,0.004763613,x
125,fight,96,0.004735857,x
181,receive,50,0.004706465,x
221,archbishop,35,0.004657975,x
100,land,148,0.004389569,x
183,bishop,62,0.004274122,x
325,pope,28,0.00426321,x
723,festival,7,0.004090892,x
256,consecrate,58,0.003972656,x
143,fire,15,0.003911019,x
75,faith,6,0.003856841,x
213,appoint,29,0.003835028,x
239,go_sea,36,0.003804592,x
120,monk,40,0.003740719,x
87,perish,16,0.003735834,x
716,bury_minster,6,0.003713859,x
238,command,19,0.003584055,x
10,reign,34,0.003545723,x
169,nephew,14,0.003506304,x
412,die_body,10,0.003465535,x
479,plunder,41,0.003450157,x
92,work,22,0.003373303,x
158,receive_baptism,7,0.003294664,x
348,battle_fight,7,0.003293539,x
25,apostle,11,0.003278092,x
152,government,15,0.003203984,x
250,kill,8,0.003197482,x
165,father,35,0.003131808,x
160,succeed_government,7,0.003043047,x
0,battle,16,0.003041044,x
273,minster,63,0.002985517,x
99,drive,52,0.00297197,x
39,call,50,0.00295452,x
218,priest,24,0.002944663,x
205,lead_army,9,0.002941523,x
105,earth,16,0.002924463,x
442,lie,41,0.002920499,x
255,wound,15,0.002917628,x
72,baptism,12,0.002911991,x
217,peace,31,0.002827146,x
462,body,16,0.002825706,x
477,heathen_army,5,0.00282278,x
234,return,58,0.00279787,x
246,daughter,31,0.002792616,x
147,slew,28,0.002791024,x
188,monastery,25,0.002790684,x
112,build,28,0.002721573,x
500,mass,26,0.002700538,x
22,kingdom,50,0.002682092,x
516,horse,25,0.002645792,x
415,body_lie,15,0.002634837,x
62,depart_life,19,0.002619737,x
659,mass_day,23,0.002578552,x
196,great_slaughter,15,0.002547951,x
178,bury,28,0.002534652,x
693,burn_town,7,0.002531192,x
504,field,9,0.002486285,x
301,deprive,22,0.002442728,x
294,choose,48,0.002437079,x
180,put_flight,25,0.002410815,x
467,english_nation,10,0.002396109,x
751,castle,35,0.002385124,x
327,proceed,27,0.002383193,x
603,coast,5,0.002382685,x
26,baptize,11,0.002372342,x
399,burn,34,0.002344719,x
90,sea,63,0.002288216,x
3,gain,12,0.002286731,x
5,seek_land,8,0.002285908,x
53,speak,20,0.002284185,x
268,martyr,8,0.002278104,x
496,protection,9,0.002277703,x
541,give_hostage,16,0.002183409,x
728,outlaw,18,0.002182253,x
133,remain,39,0.002159113,x
214,mother,19,0.00213993,x
164,abbot,37,0.002094205,x
18,son_succeed,20,0.002064297,x
438,force,38,0.002037604,x
33,settle,18,0.002036064,x
210,give_bishopric,10,0.002033031,x
149,succeed_kingdom,25,0.002032698,x
570,agree,9,0.002031489,x
611,new_minster,5,0.002030666,x
73,beg,8,0.002029847,x
606,harass,8,0.002029235,x
414,relative,15,0.00202443,x
644,win,15,0.001979654,x
370,lord,30,0.001906674,x
329,river,12,0.001902555,x
524,sit,21,0.001884293,x
94,holy,33,0.001877584,x
233,renounce,5,0.001872862,x
297,confirm,11,0.001857654,x
106,hide,10,0.001855552,x
514,storm,10,0.001845634,x
46,lose,18,0.001828683,x
227,heathen,9,0.001825336,x
202,assist,9,0.001817278,x
148,wood,11,0.001793062,x
222,decease,7,0.001786645,x
443,money,16,0.001781497,x
2,empire,9,0.001776586,x
71,brother_succeed,10,0.001776515,x
574,master,5,0.001776389,x
58,subject,16,0.00177624,x
668,servant,5,0.001775867,x
548,fortress,6,0.001775718,x
355,abbacy,16,0.001775131,x
265,betwixt,13,0.001775062,x
575,station,5,0.001775031,x
521,naval_force,6,0.00177487,x
299,cross,5,0.001774831,x
660,prison,6,0.001774389,x
725,difficulty,7,0.001774207,x
279,honour,20,0.001716948,x
686,hostile,5,0.001713598,x
473,slaughter,7,0.001691506,x
391,devastation,5,0.001690433,x
