,0,1,feature_importance
0,battle,16,0.0018195018497713133
1,emperor,11,0.0011998409553783196
2,empire,9,0.0014464136770057476
3,gain,12,0.0013360587982253589
4,overcome,7,0.0010424959718011947
5,seek_land,8,0.0013781865313698641
6,bear,19,0.0017772202627814179
7,child,14,0.0016958152422322991
8,come,165,0.0062796699222785425
9,east,15,0.0010907848911434926
10,reign,34,0.003949616647421444
11,reign_winter,23,0.003593040809396242
12,second,15,0.0015287263511281617
13,slay,132,0.007075773180918099
14,worship,6,0.0008665636557502566
15,bring,46,0.002354727213890373
16,die,222,0.00939879768652821
17,hand,46,0.0023774633828273248
18,son_succeed,20,0.0026012822311260904
19,winter,72,0.00492742773489465
20,son,140,0.0064499373849597795
21,divide,11,0.0014981368968648829
22,kingdom,50,0.003932920331922804
23,succeed_empire,5,7.662993334166242e-05
24,begin_reign,5,0.000561494292261683
25,apostle,11,0.001321872275950446
26,baptize,11,0.0015331682380812428
27,convert,5,0.0010889378839141874
28,stone,6,0.0010712591508875069
29,bless,11,0.0016190186175296046
30,city,25,0.002593028062748073
31,episcopal,7,0.0008667882942989906
32,see,62,0.004110048254298164
33,settle,18,0.002108359008568031
34,undertake,5,0.0006649477234000913
35,brother,80,0.0041819959563097996
36,death,21,0.0018461338713610435
37,ere,10,0.000592550779395546
38,book,11,0.0008069490747399527
39,call,50,0.0033152369382515815
40,dominion,12,0.002170895039868729
41,fourth,7,0.0010797973321009671
42,great_famine,9,0.0009272912449211511
43,great_part,10,0.001315056499068231
44,happen,19,0.0012141146513152694
45,island,21,0.0024244627074800993
46,lose,18,0.0011116232779654937
47,power,14,0.001114353888989595
48,take,111,0.004548519619967663
49,large,24,0.0016121576950809216
50,part,22,0.001697285769319059
51,subdue,11,0.0022166114102936288
52,write,9,0.0011894687228386255
53,speak,20,0.0012916338522967273
54,army,111,0.004353402864553393
55,go,162,0.0058024778497084385
56,king,239,0.00802162715362872
57,rule,10,0.0010292739600535174
58,subject,16,0.0017736155677261379
59,bind,10,0.0010029867708437118
60,send,91,0.00397850707018156
61,suffer,20,0.0009799903869046724
62,depart_life,19,0.0021709410687532618
63,consider,6,0.0009199153702473055
64,day,105,0.004354753938785396
65,do,100,0.0032095551280433405
66,good,46,0.0023035237759702833
67,say,57,0.0021198536056372445
68,assume_government,6,0.0010693729466850412
69,relation,9,0.0014254482071411792
70,rest,13,0.0012963675285620963
71,brother_succeed,10,0.0019191599680572534
72,baptism,12,0.002088788287562202
73,beg,8,0.001140950551144592
74,continue,26,0.0019258024929069654
75,faith,6,0.0008453906399937005
76,hold,81,0.003787600748621272
77,succeed,46,0.004385101553479747
78,time,77,0.0035737444955520874
79,true,7,0.0007654928491607273
80,bishopric,37,0.0027405306769780068
81,broad,6,0.0004843327723317884
82,end,18,0.0014569916711451043
83,hold_winter,8,0.001267633190463949
84,letter,5,0.0005185368158561718
85,make,48,0.0022791989042308704
86,obtain,20,0.0014872443796635658
87,perish,16,0.0015131035846956218
88,pray,7,0.001156862417474065
89,request,14,0.0010323071298840713
90,sea,63,0.002913279597550218
91,wall,6,0.000667431020559004
92,work,22,0.0012904165353884685
93,find,29,0.0015713923797560357
94,holy,33,0.001784909489491463
95,rood,8,0.0009051799027121294
96,arise,10,0.0011783138464659304
97,collect,24,0.0009563682800305336
98,country,24,0.0020122070140143502
99,drive,52,0.00395656943044652
100,land,148,0.0054464914746328
101,name,55,0.0039885502842634405
102,pass,8,0.0010969695299361882
103,world,14,0.002045840109833787
104,carry,16,0.0015656062130880496
105,earth,16,0.0009781410700550142
106,hide,9,0.0012100018116043667
107,man,162,0.005864835200619017
108,young,11,0.0010903928312484773
109,establish,6,0.0009868678119506864
110,scot,7,0.0007129761605578072
111,send_preach,5,0.0009092910997442353
112,build,28,0.002748985562131591
113,have,170,0.005791697684122742
114,assistance,18,0.0011980173005551873
115,nation,25,0.0017705849404705384
116,noble,11,0.0014509132523647633
117,war,13,0.0017563794613995084
118,eastern,6,0.0010609608422820745
119,head,23,0.0014314561101908473
120,monk,40,0.0027849585228179384
121,place,28,0.0015252108576279313
122,show,6,0.0006510473336417574
123,desire,13,0.0009073766727090094
124,direct,9,0.0006379107480527208
125,fight,96,0.00560490566465081
126,first,21,0.002421847537144444
127,great,83,0.003989719462056913
128,leader,8,0.0014370758676841297
