Group num: 0, TC(X;Y_j): 0.229
kill, 0.069, 5.000, 0.346
murrain_cattle, 0.015, 1.000, 0.015
blood, 0.009, 1.000, 0.009
fruit, 0.008, 1.000, 0.008
corn, 0.006, 1.000, 0.006
earth, 0.006, 1.000, 0.006
law, 0.006, 1.000, 0.006
rise, 0.003, 1.000, 0.003
establish, 0.003, 1.000, 0.003
heathen, 0.002, 1.000, 0.002
Group num: 1, TC(X;Y_j): 0.065
succeed, 0.061, 1.000, 0.061
bishopric, 0.058, 1.000, 0.058
appoint, 0.045, 1.000, 0.045
command, 0.030, 1.000, 0.030
succeed_kingdom, 0.023, 1.000, 0.023
work, 0.021, 1.000, 0.021
build, 0.018, 1.000, 0.018
seize, 0.015, 1.000, 0.015
ordain, 0.013, 1.000, 0.013
commit, 0.012, 1.000, 0.012
give_hostage, 0.012, 1.000, 0.012
bridge, 0.009, 1.000, 0.009
receive_baptism, 0.008, 1.000, 0.008
priest_succeed, 0.008, 1.000, 0.008
moon_eclipse, 0.008, 1.000, 0.008
claim, 0.008, 1.000, 0.008
mark, 0.008, 1.000, 0.008
sit, 0.007, 1.000, 0.007
hunger, 0.007, 1.000, 0.007
wood, 0.007, 1.000, 0.007
baptize, 0.006, 1.000, 0.006
devastation, 0.006, 1.000, 0.006
consecrated, 0.005, 1.000, 0.005
fortify, 0.005, 1.000, 0.005
wall, 0.005, 1.000, 0.005
ground, 0.004, 1.000, 0.004
drag, 0.003, 1.000, 0.003
undertake, 0.003, 1.000, 0.003
faith, 0.003, 1.000, 0.003
restore, 0.002, 1.000, 0.002
Group num: 2, TC(X;Y_j): 0.072
plunder, 0.062, 1.000, 0.062
cattle, 0.045, 1.000, 0.045
horse, 0.037, 1.000, 0.037
spoil, 0.032, 1.000, 0.032
wind, 0.026, 1.000, 0.026
midwinter, 0.025, 1.000, 0.025
return, 0.022, 1.000, 0.022
large_army, 0.021, 1.000, 0.021
landsman, 0.017, 1.000, 0.017
burn_town, 0.017, 1.000, 0.017
do_harm, 0.015, 1.000, 0.015
master, 0.014, 1.000, 0.014
sea, 0.011, 1.000, 0.011
govern, 0.009, 1.000, 0.009
remember, 0.008, 1.000, 0.008
reign, 0.006, 1.000, 0.006
arise, 0.005, 1.000, 0.005
earthquake, 0.005, 1.000, 0.005
lose, 0.005, 1.000, 0.005
kingdom_hold, 0.001, 1.000, 0.001
Group num: 3, TC(X;Y_j): 0.111
fight, 0.181, 1.000, 0.181
slay, 0.081, 1.000, 0.081
great_slaughter, 0.031, 1.000, 0.031
wound, 0.025, 1.000, 0.025
obtain_victory, 0.024, 1.000, 0.024
leader, 0.018, 1.000, 0.018
slew, 0.017, 1.000, 0.017
people_gather, 0.016, 1.000, 0.016
battle, 0.015, 1.000, 0.015
collect, 0.014, 1.000, 0.014
pirate, 0.012, 1.000, 0.012
drown, 0.011, 1.000, 0.011
battle_fight, 0.010, 1.000, 0.010
companion, 0.008, 1.000, 0.008
allegiance, 0.008, 1.000, 0.008
heathen_army, 0.008, 1.000, 0.008
conquer, 0.008, 1.000, 0.008
lead_army, 0.008, 1.000, 0.008
overcome, 0.006, 1.000, 0.006
townsman, 0.005, 1.000, 0.005
desire, 0.004, 1.000, 0.004
expel, 0.003, 1.000, 0.003
meat, 0.003, 1.000, 0.003
borough, 0.003, 1.000, 0.003
begin_reign, 0.002, 1.000, 0.002
Group num: 4, TC(X;Y_j): 0.093
army, 0.193, 1.000, 0.193
force, 0.097, 1.000, 0.097
gather, 0.045, 1.000, 0.045
hostage, 0.032, 1.000, 0.032
make_peace, 0.021, 1.000, 0.021
suffer, 0.020, 1.000, 0.020
overrun, 0.014, 1.000, 0.014
population, 0.014, 1.000, 0.014
summon, 0.013, 1.000, 0.013
rich_man, 0.011, 1.000, 0.011
deliver, 0.010, 1.000, 0.010
inhabitant, 0.010, 1.000, 0.010
ravage, 0.010, 1.000, 0.010
subdue_land, 0.008, 1.000, 0.008
determine, 0.008, 1.000, 0.008
naval_armament, 0.008, 1.000, 0.008
report, 0.008, 1.000, 0.008
hostile, 0.008, 1.000, 0.008
surround, 0.008, 1.000, 0.008
lay_waste, 0.006, 1.000, 0.006
expedition, 0.006, 1.000, 0.006
