0:kill,murrain_cattle,blood,fruit,corn,earth,law,rise,establish,heathen
1:succeed,bishopric,appoint,command,succeed_kingdom,~work,~build,~seize,ordain,~commit
2:plunder,cattle,horse,spoil,wind,midwinter,return,large_army,landsman,burn_town
3:fight,slay,great_slaughter,wound,obtain_victory,leader,slew,people_gather,battle,collect
4:army,force,gather,hostage,make_peace,suffer,overrun,population,summon,~rich_man
5:ship,land_force,proceed,mouth,enemy,booty,sail,crew,fleet,coast
6:kingdom,drive,~wise,~win,~good_man,~wise_man,depart,alderman,~great_council,~naval
7:archbishop,abbot,choose,mass_day,resign,take_wife,synod,invest,give_abbacy,choose_monk
8:castle,peace,promise,lord,protection,treachery,~lie,relict,guild,surrender
9:monk,minster,~son,clerk,bishop,speak,saint,monastery,confirm,service
10:die,~king,~brother,pall,body_lie,bury,pope,~nation,holy,~betray
11:church,soul,dead,perform,mother,old_minster,uncle,dear,bow,man_remember
12:hear,reconcile,evil,folk,land,station,heir,servant,join,wist
13:burn,gain,put_flight,flee,weapon,have_victory,slaughter,die_bury,field_battle,troop
14:council,provision,swear,agree,conduct,abode,give_castle,offer,star,hold_court
15:priest,receive,sister,give_bishopric,consecrate_bishop,great_worship,sheriff,consecrate,succeed_earldom,hallowed
16:flight,fight_put,security,steal,fortress,truce,aid,seek,fort,deal
17:thane,destroy,fire,~father,citizen,plunder_burn,demand,gate,go_homeward,leave
18:earl,account,counsel,go_sea,~death,~island,prison,~son_succeed,treaty,act
19:wife,treasure,child,possess,outlaw,daughter,faithful,swear_oath,difficulty,give_earldom
