Group num: 0, TC(X;Y_j): 0.186
ship, 0.282, 1.000, 0.282
enemy, 0.054, 1.000, 0.054
land_force, 0.044, 1.000, 0.044
mouth, 0.042, 1.000, 0.042
proceed, 0.041, 1.000, 0.041
collect, 0.028, 1.000, 0.028
booty, 0.023, 1.000, 0.023
crew, 0.020, 1.000, 0.020
sail, 0.020, 1.000, 0.020
fleet, 0.020, 1.000, 0.020
coast, 0.016, 1.000, 0.016
destroy, 0.014, 1.000, 0.014
disperse, 0.013, 1.000, 0.013
main_army, 0.013, 1.000, 0.013
escape, 0.012, 1.000, 0.012
sea_coast, 0.012, 1.000, 0.012
reach, 0.010, 1.000, 0.010
deprive, 0.010, 1.000, 0.010
warn, 0.009, 1.000, 0.009
besiege, 0.009, 1.000, 0.009
return_homeward, 0.008, 1.000, 0.008
relative, 0.007, 1.000, 0.007
ere, 0.007, 1.000, 0.007
burn_town, 0.006, 1.000, 0.006
design, 0.006, 1.000, 0.006
court, 0.005, 1.000, 0.005
baptism, 0.004, 1.000, 0.004
cousin, 0.003, 1.000, 0.003
throw, 0.003, 1.000, 0.003
allegiance, 0.003, 1.000, 0.003
refuse, 0.002, 1.000, 0.002
sheriff, 0.002, 1.000, 0.002
establish, 0.002, 1.000, 0.002
port, 0.000, 1.000, 0.000
Group num: 1, TC(X;Y_j): 0.180
abbot, 0.158, 1.000, 0.158
monk, 0.149, 1.000, 0.149
minster, 0.090, 1.000, 0.090
bishop, 0.040, 1.000, 0.040
monastery, 0.030, 1.000, 0.030
call, 0.021, 1.000, 0.021
speak, 0.020, 1.000, 0.020
clerk, 0.016, 1.000, 0.016
love, 0.016, 1.000, 0.016
choose_monk, 0.015, 1.000, 0.015
consecration, 0.015, 1.000, 0.015
abbacy, 0.013, 1.000, 0.013
abbot_monk, 0.013, 1.000, 0.013
blood, 0.013, 1.000, 0.013
service, 0.012, 1.000, 0.012
fen, 0.012, 1.000, 0.012
concern, 0.011, 1.000, 0.011
saint, 0.011, 1.000, 0.011
new_minster, 0.010, 1.000, 0.010
mass_priest, 0.010, 1.000, 0.010
go_homeward, 0.008, 1.000, 0.008
send_preach, 0.007, 1.000, 0.007
leave, 0.007, 1.000, 0.007
fire, 0.005, 1.000, 0.005
worship, 0.005, 1.000, 0.005
government, 0.005, 1.000, 0.005
convert, 0.003, 1.000, 0.003
decreed, 0.003, 1.000, 0.003
Group num: 2, TC(X;Y_j): 0.122
die, 0.107, 1.000, 0.107
castle, 0.052, 1.000, 0.052
promise, 0.045, 1.000, 0.045
peace, 0.042, 1.000, 0.042
king, 0.035, 1.000, 0.035
lord, 0.026, 1.000, 0.026
lie, 0.019, 1.000, 0.019
